proper,ra,dec,mag,hip
,11.760141,-66.728763,3.63,57363
Taiyangshou,11.767515,47.779406,3.69,57399
Denebola,11.817663,14.57206,2.14,57632
Zavijava,11.844922,1.764718,3.59,57757
Phecda,11.897168,53.69476,2.41,58001
,12.13931,-50.722425,2.58,59196
,12.168746,-22.619766,3.02,59316
,12.194202,-52.36846,3.97,59449
Imai,12.252427,-58.748928,2.79,59747
Megrez,12.257086,57.032617,3.32,59774
Gienah,12.263437,-17.541929,2.58,59803
Zaniah,12.331766,-0.666803,3.89,60129
Ginan,12.356031,-60.401147,3.59,60260
Acrux,12.443311,-63.099092,0.77,60718
,12.467331,-50.230635,3.91,60823
Algorab,12.497739,-16.515432,2.94,60965
Gacrux,12.519429,-57.113212,1.59,61084
,12.541134,-72.132988,3.84,61199
,12.558058,69.788238,3.85,61281
Kraz,12.573121,-23.396759,2.65,61359
,12.619739,-69.135564,2.69,61585
,12.628394,-48.541304,3.85,61622
,12.691971,-48.959888,2.2,61932
Porrima,12.694345,-1.449375,2.74,61941
,12.771346,-68.108119,3.04,62322
Mimosa,12.795359,-59.688764,1.25,62434
Alioth,12.900472,55.959821,1.76,62956
Minelauva,12.926725,3.39747,3.39,63090
Cor Caroli,12.933807,38.31838,2.89,63125
Vindemiatrix,13.036278,10.95915,2.85,63608
,13.037759,-71.548855,3.61,63613
,13.315359,-23.171512,2.99,64962
Kulou,13.343296,-36.712295,2.75,65109
Mizar,13.398747,54.925362,2.23,65378
Spica,13.419883,-11.161322,0.98,65474
Alcor,13.420413,54.987958,3.99,65477
,13.517405,-39.407307,3.9,65936
Heze,13.57822,-0.59582,3.38,66249
,13.664796,-53.466394,2.29,66657
Alkaid,13.792354,49.313265,1.85,67301
Heng,13.825078,-41.687709,3.41,67464
,13.826943,-42.473732,3.47,67472
Muphrid,13.911411,18.397717,2.68,67927
Leepwal,13.925667,-47.288375,2.55,68002
,13.971186,-42.100753,3.83,68245
,13.977987,-44.803584,3.87,68282
Hadar,14.063729,-60.373039,0.61,68702
Thuban,14.073165,64.37585,3.67,68756
,14.106193,-26.682361,3.25,68895
Menkent,14.111395,-36.369954,2.06,68933
Arcturus,14.26103,19.18241,-0.05,69673
,14.323396,-46.058093,3.55,69996
,14.5305,30.371437,3.57,71053
Seginus,14.534636,38.308253,3.04,71075
,14.591786,-42.157824,2.33,71352
Toliman,14.660346,-60.8383,1.35,71681
Rigil Kentaurus,14.660765,-60.833976,-0.01,71683
,14.68582,13.7283,3.78,71795
Uridim,14.698823,-47.3882,2.3,71860
